chineseTotalDurationf,m,196,224,NA
chineseTotalDurationf,n,224,211,202
chineseTotalDurationf,p,228,221,NA
chineseTotalDurationf,t,239,228,226
chineseTotalDurationf,s,209,237,191
chineseTotalDurationf,l,214,218,183

chineseOralPercf,m,0,0,NA
chineseOralPercf,n,0,0,0
chineseOralPercf,p,20,18,NA
chineseOralPercf,t,18,26,28
chineseOralPercf,s,11,22,18
chineseOralPercf,l,23,22,12

chineseTotalDurationm,m,524,550,NA
chineseTotalDurationm,n,556,565,572
chineseTotalDurationm,p,582,632,NA
chineseTotalDurationm,t,588,550,590
chineseTotalDurationm,s,569,605,628
chineseTotalDurationm,l,532,522,522

chineseOralPercm,m,0,0,NA
chineseOralPercm,n,0,0,0
chineseOralPercm,p,15,21,NA
chineseOralPercm,t,12,28,16
chineseOralPercm,s,11,18,30
chineseOralPercm,l,32,29,20

chineseTotalDurations,m,836,770,NA
chineseTotalDurations,n,815,864,893
chineseTotalDurations,p,946,818,NA
chineseTotalDurations,t,920,837,916
chineseTotalDurations,s,833,847,912
chineseTotalDurations,l,801,781,828

chineseOralPercs,m,0,0,NA
chineseOralPercs,n,0,0,0
chineseOralPercs,p,11,14,NA
chineseOralPercs,t,7,34,27
chineseOralPercs,s,10,42,45
chineseOralPercs,l,11,25,46

formantsChinese
subj,contexte,vowel,f1,f2,f3,f4,f2f1,f3f2
i,p,i,365,2628,3686,4720,2263,1058
i,p,i,387,2687,3613,4479,2300,926
i,p,i,369,2614,3619,4575,2245,1005
a,p,a,914,1553,2639,4475,639,1086
ang,p,ang,856,1305,2903,4432,449,1598
an,p,an,929,1668,3153,4610,739,1485
a,t,a,904,1756,3087,4644,852,1331
an,t,an,895,1670,3166,4796,775,1496
ang,t,ang,878,1632,3165,4740,754,1533
a,l,a,943,1568,1605,2828,625,37
an,l,an,903,1686,3217,4661,783,1531
ang,l,ang,902,1381,2982,4194,479,1601
a,s,a,953,1627,2944,4416,674,1317
an,s,an,786,1590,2783,4442,804,1193
ang,s,ang,937,1403,2828,4540,466,1425
u,t,u,474,755,2747,4281,281,1992
ong,t,ong,541,825,2729,4299,284,1904
u,s,u,484,816,2498,4281,332,1682
ong,s,ong,568,931,3047,4156,363,2116
u,l,u,491,891,2780,4247,400,1889
ong,l,ong,525,1008,2779,3940,483,1771

formantsChineseMean
vowel,group,f1,f2,f3
a,mandarin,928,1626,2568
an,mandarin,878,1653,3079
ang,mandarin,893,1430,2969
i,mandarin,373,2643,3639
ong,mandarin,544,921,2851
u,mandarin,483,820,2675