subj,gender,vowel,f1,f2,f3,percent
chinese,man,ai,845,1333,2494,10
chinese,man,ai,876,1352,2483,20
chinese,man,ai,862,1360,2534,30
chinese,man,ai,851,1421,2512,40
chinese,man,ai,829,1519,2536,50
chinese,man,ai,772,1666,2493,60
chinese,man,ai,627,1952,2518,70
chinese,man,ai,492,2163,2687,80
chinese,man,ei,585,1966,2663,10
chinese,man,ei,573,1997,2663,20
chinese,man,ei,525,2045,2651,30
chinese,man,ei,483,2070,2685,40
chinese,man,ei,461,2134,2684,50
chinese,man,ei,417,2210,2783,60
chinese,man,ei,371,2251,2800,70
chinese,man,ei,349,2250,2964,80
chinese,man,ao,809,1201,2540,10
chinese,man,ao,825,1185,2592,20
chinese,man,ao,814,1158,2648,30
chinese,man,ao,773,1069,2679,40
chinese,man,ao,695,1014,2750,50
chinese,man,ao,611,917,2727,60
chinese,man,ao,534,828,2734,70
chinese,man,ao,456,771,2703,80
chinese,man,ou,567,1089,2555,10
chinese,man,ou,556,1030,2608,20
chinese,man,ou,514,964,2658,30
chinese,man,ou,480,874,2660,40
chinese,man,ou,458,843,2766,50
chinese,man,ou,407,736,2773,60
chinese,man,ou,362,694,2781,70
chinese,man,ou,337,630,2794,80
chinese,man,wa,307,511,2368,10
chinese,man,wa,320,603,2463,20
chinese,man,wa,473,854,2528,30
chinese,man,wa,783,1166,2535,40
chinese,man,wa,898,1271,2510,50
chinese,man,wa,902,1334,1825,60
chinese,man,wa,917,1330,2066,70
chinese,man,wa,876,1310,2537,80
chinese,man,wo,259,616,2325,10
chinese,man,wo,294,646,2932,20
chinese,man,wo,342,654,2711,30
chinese,man,wo,440,770,2779,40
chinese,man,wo,497,839,2741,50
chinese,man,wo,573,914,2772,60
chinese,man,wo,615,971,2783,70
chinese,man,wo,611,1005,2723,80
chinese,man,wai,287,661,2591,10
chinese,man,wai,443,845,2571,20
chinese,man,wai,784,1265,2503,30
chinese,man,wai,902,1443,2470,40
chinese,man,wai,900,1566,2485,50
chinese,man,wai,794,1823,2516,60
chinese,man,wai,587,2111,2666,70
chinese,man,wai,436,2255,2982,80
chinese,man,wei,260,651,2466,10
chinese,man,wei,334,827,2462,20
chinese,man,wei,536,1320,2445,30
chinese,man,wei,512,2015,2597,40
chinese,man,wei,443,2212,2674,50
chinese,man,wei,403,2236,2839,60
chinese,man,wei,357,2304,2916,70
chinese,man,wei,355,2299,2837,80
chinese,man,ia,246,2102,3267,10
chinese,man,ia,418,2139,2885,20
chinese,man,ia,734,1849,2505,30
chinese,man,ia,895,1512,2439,40
chinese,man,ia,913,1396,2122,50
chinese,man,ia,965,1441,2501,60
chinese,man,ia,930,1434,2504,70
chinese,man,ia,803,1088,1897,80
chinese,man,ie,242,2205,3680,10
chinese,man,ie,241,2312,3601,20
chinese,man,ie,278,2301,3336,30
chinese,man,ie,347,2317,3072,40
chinese,man,ie,439,2252,2912,50
chinese,man,ie,484,2211,2801,60
chinese,man,ie,556,2122,2681,70
chinese,man,ie,566,2050,2663,80
chinese,man,iao,319,2141,3106,10
chinese,man,iao,560,2062,2681,20
chinese,man,iao,776,1522,2338,30
chinese,man,iao,836,1364,2426,40
chinese,man,iao,805,1251,2494,50
chinese,man,iao,724,1089,2548,60
chinese,man,iao,612,989,2601,70
chinese,man,iao,549,885,2618,80
chinese,man,io,240,2273,3616,10
chinese,man,io,249,2149,3433,20
chinese,man,io,428,2083,2432,30
chinese,man,io,476,1131,2427,40
chinese,man,io,454,929,2543,50
chinese,man,io,430,815,2563,60
chinese,man,io,398,789,2529,70
chinese,man,io,365,714,2539,80
chinese,man,ye,243,1806,2018,10
chinese,man,ye,258,1789,2182,20
chinese,man,ye,319,1348,2145,30
chinese,man,ye,364,1361,2129,40
chinese,man,ye,439,1364,2252,50
chinese,man,ye,496,1789,2440,60
chinese,man,ye,574,1924,2575,70
chinese,man,ye,600,1889,2605,80