subject,gender,vowel,f1,f2,f3,percent
french,man,e,358,1998,2899,10
french,man,e,345,2018,2897,20
french,man,e,347,2026,2851,30
french,man,e,342,2026,2898,40
french,man,e,342,2037,2937,50
french,man,e,338,2043,2939,60
french,man,e,343,2052,2928,70
french,man,e,341,2045,2840,80
french,man,eu,347,1519,2422,10
french,man,eu,344,1470,2429,20
french,man,eu,347,1488,2484,30
french,man,eu,343,1481,2475,40
french,man,eu,346,1477,2501,50
french,man,eu,341,1459,2411,60
french,man,eu,336,1387,2421,70
french,man,eu,342,1403,2464,80
french,man,u,271,743,2280,10
french,man,u,285,764,2342,20
french,man,u,287,760,2459,30
french,man,u,292,764,2347,40
french,man,u,300,795,2446,50
french,man,u,294,768,2241,60
french,man,u,305,725,2321,70
french,man,u,317,709,2331,80
french,man,y,273,1808,2387,10
french,man,y,270,1840,2189,20
french,man,y,271,1698,2090,30
french,man,y,270,1681,2064,40
french,man,y,274,1691,2119,50
french,man,y,277,1668,2082,60
french,man,y,280,1800,2136,70
french,man,y,281,1786,2143,80
french,man,ai,462,1828,2670,10
french,man,ai,481,1841,2716,20
french,man,ai,470,1863,2757,30
french,man,ai,460,1877,2737,40
french,man,ai,449,1866,2749,50
french,man,ai,448,1875,2740,60
french,man,ai,444,1874,2742,70
french,man,ai,436,1855,2731,80
french,man,i,276,2084,3171,10
french,man,i,271,2125,3230,20
french,man,i,269,2120,3220,30
french,man,i,267,2092,3225,40
french,man,i,268,2109,3242,50
french,man,i,268,2104,3268,60
french,man,i,263,2113,3205,70
french,man,i,262,2066,3164,80
french,man,o,365,721,2380,10
french,man,o,352,736,2388,20
french,man,o,353,742,2376,30
french,man,o,359,743,2437,40
french,man,o,361,739,2506,50
french,man,o,351,751,2475,60
french,man,o,350,767,2538,70
french,man,o,347,758,2510,80
french,man,oe,431,1382,2546,10
french,man,oe,491,1359,2552,20
french,man,oe,501,1334,2510,30
french,man,oe,507,1345,2482,40
french,man,oe,512,1348,2473,50
french,man,oe,513,1357,2477,60
french,man,oe,522,1345,2499,70
french,man,oe,571,1304,2589,80
french,man,ao,478,1090,2488,10
french,man,ao,531,1057,2541,20
french,man,ao,536,1043,2573,30
french,man,ao,542,1063,2611,40
french,man,ao,547,1076,2627,50
french,man,ao,548,1064,2651,60
french,man,ao,533,1057,2627,70
french,man,ao,490,1062,2612,80
french,man,a,659,1200,2607,10
french,man,a,687,1252,2620,20
french,man,a,674,1239,2612,30
french,man,a,670,1225,2613,40
french,man,a,669,1226,2642,50
french,man,a,666,1250,2610,60
french,man,a,661,1207,2642,70
french,man,a,657,1207,2598,80